epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202046,2020-11-14,231,AC,Acrelândia,1200013,city,498,3214.9774,1,11,0,0.0221,15490,False,False
202046,2020-11-14,198,AC,Assis Brasil,1200054,city,724,9609.76905,0,9,0,0.0124,7534,False,False
202046,2020-11-14,190,AC,Brasiléia,1200104,city,1203,4505.2805,1,19,0,0.0158,26702,False,False
202046,2020-11-14,221,AC,Bujari,1200138,city,427,4097.88868,0,7,0,0.0164,10420,False,False
202046,2020-11-14,191,AC,Capixaba,1200179,city,259,2156.8954,1,8,0,0.0309,12008,False,False
202046,2020-11-14,216,AC,Cruzeiro do Sul,1200203,city,3732,4189.86887,9,65,0,0.0174,89072,False,False
202046,2020-11-14,192,AC,Epitaciolândia,1200252,city,534,2856.22593,0,14,0,0.0262,18696,False,False
202046,2020-11-14,197,AC,Feijó,1200302,city,1331,3815.50281,5,22,0,0.0165,34884,False,False
202046,2020-11-14,181,AC,Jordão,1200328,city,218,2572.87856,0,1,0,0.0046,8473,False,False
202046,2020-11-14,200,AC,Mâncio Lima,1200336,city,1235,6395.31873,0,14,0,0.0113,19311,False,False
202046,2020-11-14,186,AC,Manoel Urbano,1200344,city,350,3653.06335,1,2,0,0.0057,9581,False,False
202046,2020-11-14,187,AC,Marechal Thaumaturgo,1200351,city,676,3502.77216,4,6,0,0.0089,19299,False,False
202046,2020-11-14,223,AC,Plácido de Castro,1200385,city,429,2149.83713,0,8,0,0.0186,19955,False,False
202046,2020-11-14,231,AC,Porto Acre,1200807,city,536,2847.42881,4,16,0,0.0299,18824,False,False
202046,2020-11-14,186,AC,Porto Walter,1200393,city,321,2622.33478,0,2,0,0.0062,12241,False,False
202046,2020-11-14,243,AC,Rio Branco,1200401,city,13342,3227.24216,276,441,1,0.0331,413418,False,False
202046,2020-11-14,187,AC,Rodrigues Alves,1200427,city,212,1095.55062,0,7,0,0.033,19351,False,False
202046,2020-11-14,191,AC,Santa Rosa do Purus,1200435,city,368,5478.6363,0,2,0,0.0054,6717,False,False
202046,2020-11-14,210,AC,Senador Guiomard,1200450,city,557,2397.14237,0,13,0,0.0233,23236,False,False
202046,2020-11-14,195,AC,Sena Madureira,1200500,city,1822,3917.35288,15,14,0,0.0077,46511,False,False
202046,2020-11-14,197,AC,Tarauacá,1200609,city,2662,6169.03432,0,14,0,0.0053,43151,False,False
202046,2020-11-14,200,AC,Xapuri,1200708,city,1555,7935.29292,13,13,0,0.0084,19596,False,False
202046,2020-11-14,243,AC,,12,state,32991,3688.3294,330,708,1,0.0215,894470,False,False
202046,2020-11-14,165,AL,Água Branca,2700102,city,103,509.14483,0,3,0,0.0291,20230,False,False
202046,2020-11-14,206,AL,Anadia,2700201,city,506,2887.13911,1,8,0,0.0158,17526,False,False
202046,2020-11-14,211,AL,Arapiraca,2700300,city,12449,5341.84092,50,169,0,0.0136,233047,False,False
202046,2020-11-14,203,AL,Atalaia,2700409,city,630,1330.09606,0,23,0,0.0365,47365,False,False
202046,2020-11-14,206,AL,Barra de Santo Antônio,2700508,city,136,846.40279,0,14,0,0.1029,16068,False,False
202046,2020-11-14,200,AL,Barra de São Miguel,2700607,city,158,1885.89162,1,5,0,0.0316,8378,False,False
202046,2020-11-14,200,AL,Batalha,2700706,city,607,3310.06653,0,11,0,0.0181,18338,False,False
202046,2020-11-14,177,AL,Belém,2700805,city,59,1377.21755,0,1,0,0.0169,4284,False,False
202046,2020-11-14,171,AL,Belo Monte,2700904,city,173,2578.24143,0,4,0,0.0231,6710,False,False
202046,2020-11-14,214,AL,Boca da Mata,2701001,city,1253,4580.348,0,25,0,0.02,27356,False,False
202046,2020-11-14,200,AL,Branquinha,2701100,city,272,2600.38241,0,6,0,0.0221,10460,False,False
